Player,Tm,Pos,Salary,WS_actual,VORP,PER,BPM,ValueIndex,$/WS_calc,PPG,RPG,APG,DWS,DBPM
kostas zonas,Devils,SG,24000000,4.7,1.9,17.2,1.8,0.27499999999999997,5106382.978723404,15.9,4.4,3.6,1.7,0.4
nazeer odiambo,Predators,SG/SF,1850000,0.3,0.2,14.2,4.9,0.27027027027027023,6166666.666666667,2.6,1.1,0.6,0.1,-1.1
laurynas linartas,Cyclones,SF/SG,5950000,0.8,0.8,13.5,-0.6,0.2689075630252101,7437500.0,14.3,5.5,3.9,2.8,2.0
marco de luca,Tritons,PG,40000000,7.1,3.6,18.0,3.5,0.26749999999999996,5633802.816901409,16.3,3.8,6.9,2.5,0.4
sergio ortuño,Vipers,C,40000000,7.8,2.8,24.2,2.8,0.265,5128205.128205128,22.7,10.2,1.6,3.4,3.3
patrik jurecka,Skyhawks,SF,25000000,3.9,2.7,16.8,2.2,0.264,6410256.41025641,17.4,4.6,4.2,3.1,2.8
stephan rayner,Crusaders,SG,40000000,6.6,3.6,17.3,3.3,0.255,6060606.060606061,17.3,4.1,6.1,2.3,0.6
mattias fortt,Dragons,SF,5500000,0.9,0.5,14.2,-1.2,0.2545454545454545,6111111.111111111,14.8,6.1,2.9,1.4,2.2
rulon fehr,Giants,PF/C,3150000,0.5,0.3,9.4,1.7,0.253968253968254,6300000.0,3.2,3.9,1.4,0.4,-0.1
ishaq osten,Jaguars,PF,25000000,5.5,0.8,17.6,-0.5,0.252,4545454.545454546,15.8,8.8,2.8,2.5,2.1
damir markovic,Knights,C/PF,13500000,2.6,0.8,15.8,-0.5,0.2518518518518519,5192307.692307692,12.8,6.4,0.8,2.5,1.3
darius stephenson,Renegades,SF/SG,35000000,6.1,2.7,19.5,2.2,0.25142857142857145,5737704.918032787,23.1,5.0,3.5,3.6,1.8
kylan cassier,Rockets,SF,12000000,2.2,0.8,14.2,-0.6,0.25,5454545.454545454,14.0,2.2,3.0,2.4,0.2
kaden ford,Colonels,SF/SG,6000000,1.2,0.3,16.1,-0.2,0.25,5000000.0,4.5,1.4,1.4,0.2,-1.3
tiago fernandes,Vultures,PF,7250000,1.5,0.3,15.2,-1.4,0.2482758620689655,4833333.333333333,10.9,5.8,1.5,1.8,2.0
o'neal cobbs,Stars,PG,9750000,2.7,-0.3,14.1,-3.0,0.2461538461538462,3611111.111111111,5.3,1.2,5.6,0.4,-4.7
pedro santos,Bullets,PF,25000000,4.0,2.0,12.9,1.3,0.24,6250000.0,10.9,4.9,3.0,1.9,0.8
kaleb sterling,Jaguars,SF/PF,3850000,1.6,-0.7,9.9,-3.3,0.2337662337662338,2406250.0,7.8,3.0,2.3,2.1,0.9
daevon nash,Lumberjacks,SG,25000000,4.1,1.7,16.3,1.4,0.23199999999999998,6097560.975609757,13.3,4.1,2.1,2.8,0.8
boris heron,Kings,PG,1750000,0.3,0.1,16.2,2.4,0.2285714285714286,5833333.333333334,2.4,0.6,0.6,0.1,-2.3
kalen smart,Thunder,SG,30000000,5.1,1.5,20.8,0.1,0.22,5882352.941176471,27.6,5.5,3.1,2.1,1.2
jermaine clark,Bullets,SF,11000000,1.8,0.6,12.5,-0.2,0.21818181818181817,6111111.111111111,5.5,3.6,1.5,1.6,0.6
tomas alvarado,Saints,C,2350000,2.8,-2.3,14.3,-6.3,0.2127659574468085,839285.7142857143,10.9,9.0,0.9,1.1,0.0
sandro mazalović,Cyclones,SG,10000000,1.3,0.8,15.0,1.8,0.21000000000000002,7692307.692307692,7.6,2.5,2.6,0.8,-0.3
josh vickery,Jailbirds,PG,35000000,5.6,1.6,15.6,0.5,0.20571428571428568,6250000.0,13.1,2.7,6.4,2.0,-1.0
jb winn,Vultures,PF,13000000,2.1,0.3,14.3,-1.5,0.1846153846153846,6190476.19047619,16.4,6.6,1.1,2.1,0.6
briggs greenaway,Bullets,SG,25000000,3.3,1.2,16.4,0.0,0.18,7575757.575757576,17.1,4.9,3.9,2.4,0.9
spenser crisler,Saints,SG,1750000,0.2,0.1,22.3,2.3,0.17142857142857146,8750000.0,11.4,2.0,2.6,0.0,-0.8
uri varjačić,Wolves,SG,1750000,0.4,-0.1,13.4,-2.2,0.17142857142857146,4375000.0,10.5,2.7,2.4,0.3,-0.4
damarion redfield,Jailbirds,SG/SF,1750000,0.3,0.0,8.1,-1.4,0.17142857142857143,5833333.333333334,2.0,1.2,1.2,0.3,-2.0
moussa konko,Renegades,PF/C,6000000,0.7,0.3,14.0,4.9,0.16666666666666666,8571428.571428573,3.7,5.4,0.5,0.3,-0.4
garrick jurkin,Fireballs,SF/PF,35000000,3.7,1.9,15.8,1.1,0.16,9459459.45945946,15.9,6.2,2.8,3.1,2.5
cardez moss,Warriors,SF/SG,35000000,3.7,1.4,16.5,0.1,0.1457142857142857,9459459.45945946,19.5,4.2,3.2,2.6,1.7
jason cheaney jr,Scorpions,SG/SF,40000000,3.9,1.9,19.8,0.9,0.145,10256410.256410256,23.0,5.5,4.0,2.5,3.2
cairo johnson-brooks,Drones,SF,3850000,0.3,0.2,14.2,-0.9,0.12987012987012986,12833333.333333334,6.2,1.9,0.8,0.8,1.9
demitrius waltz,Stars,C,25000000,4.4,-1.4,18.6,-4.3,0.12000000000000002,5681818.181818182,18.1,10.4,1.2,2.5,1.7
kellen hendy,Drones,PF/C,10000000,1.0,0.2,11.3,-0.6,0.12,10000000.0,6.3,7.5,1.0,0.5,0.9
