Player,Tm,Pos,Salary,WS_actual,VORP,PER,BPM,ValueIndex,$/WS_calc,PPG,RPG,APG,DWS,DBPM
tredarius love,Lumberjacks,C/PF,0,0.9,0.3,11.8,0.9,,0.0,3.8,4.8,0.8,0.6,0.3
chancellor rizk,Pilots,SG/SF,0,-0.1,0.0,9.2,-2.5,,-0.0,6.4,1.6,2.6,0.1,-1.1
demetris kessee,Thunder,SF/SG,0,4.2,2.2,14.5,2.3,,0.0,14.8,3.2,2.8,1.9,0.7
stefano severini,Vipers,C,0,5.0,1.6,10.6,0.6,,0.0,7.3,7.7,1.2,2.8,0.3
bakari humphrey,Warriors,SG/SF,0,3.3,1.3,14.3,0.1,,0.0,13.5,4.2,4.3,2.3,0.7
dwayne mcrae,Warriors,SF,0,0.0,-0.1,14.7,-4.5,,,2.3,0.2,0.3,0.0,-3.2
emeka nyambi,Barons,C,0,7.5,2.5,15.7,2.4,,0.0,9.6,10.4,2.4,3.7,2.8
tyrique beaudean,Crusaders,PG,0,2.4,0.7,15.0,0.8,,0.0,6.7,1.6,3.5,0.9,-2.2
ofure rabinovich,Dragons,SG,0,-0.3,-0.1,14.8,-2.9,,-0.0,12.1,2.7,2.5,0.0,-0.8
lloyd bruton,Free Agent,PG,0,1.2,0.2,18.5,-0.2,,0.0,5.6,1.0,2.8,0.3,-1.8
metehan keloglu,Free Agent,PF/SF,0,2.5,0.8,15.0,0.6,,0.0,7.2,2.9,1.3,1.2,-0.4
guy vasquez,Free Agent,SG/SF,0,1.0,0.0,14.6,-2.0,,0.0,8.4,1.9,2.5,0.9,-1.1
robert alcegaire,Huskies,PF,0,0.5,0.2,12.8,1.3,,0.0,8.8,6.4,1.0,0.3,0.0
knud mandana,Jaguars,SG,0,,,,,,,,,,,
orlando fitzpatrick,Skyhawks,SF/SG,0,,,,,,,,,,,
niklas harris,Tritons,PG,0,7.9,3.1,20.0,2.7,,0.0,20.7,2.2,6.8,2.2,-0.5
max kurbatov,Calaveras,SG,0,-0.1,-0.1,10.0,-5.5,,-0.0,1.4,0.3,0.1,0.0,-0.9
trinson tomasco,Calaveras,PF,0,3.1,0.7,16.9,-0.3,,0.0,8.6,5.8,1.6,0.6,1.9
jarvis cannon,Crusaders,PF,0,2.4,0.5,15.7,-0.2,,0.0,10.0,5.2,0.8,1.3,-0.1
jerod kirk,Dragons,SG/PG,0,,,,,,,,,,,
cole starkweather,Knights,SG,0,2.2,0.6,15.8,-1.0,,0.0,18.8,4.7,3.3,2.0,1.2
juvonte dwight,Pilots,PG,0,0.1,0.0,17.4,3.7,,0.0,5.5,2.5,3.0,0.0,-0.7
mandela osayande,Renegades,PG,0,3.3,0.8,13.2,0.7,,0.0,5.2,1.3,3.0,1.2,-3.3
john ford,Saints,C/PF,0,0.5,0.0,15.2,-1.5,,0.0,2.3,1.9,0.6,0.1,1.1
cole blake,Scorpions,PF,0,4.5,1.6,17.7,1.5,,0.0,13.6,4.8,1.1,3.4,2.2
jarquez gowins,Warriors,PF,0,0.2,0.1,10.3,2.2,,0.0,0.6,0.7,0.4,0.2,3.4
carsen christos,Barons,SG,0,1.6,1.0,13.4,1.4,,0.0,10.3,3.4,2.2,1.4,0.5
ephraim gashi,Barons,PF/SF,0,,,,,,,,,,,
john riley,Blizzards,PG,0,3.2,0.9,18.0,0.9,,0.0,7.6,2.2,3.3,0.1,-1.3
jasonn payton,Calaveras,SF/SG,0,-0.5,-0.2,14.4,-3.6,,-0.0,8.2,2.7,1.2,0.0,-0.3
cole kopelani,Crusaders,C/PF,0,5.1,3.1,19.5,2.7,,0.0,22.3,8.9,2.2,2.7,2.0
jordan goodridge,Devils,C/PF,0,1.8,0.3,16.7,-1.2,,0.0,12.1,6.9,1.2,1.8,3.1
kellen layne,Devils,PG/SG,0,0.4,0.2,22.7,7.9,,0.0,3.3,1.0,1.0,0.1,3.6
deandre leslie,Drones,C,0,0.9,0.4,16.3,1.8,,0.0,6.8,5.8,2.1,0.6,4.1
joe beck-taylor,Free Agent,SF,0,0.0,0.0,12.0,-0.7,,,2.0,3.0,3.0,0.0,-0.2
zion buckner,Free Agent,PF,0,2.5,0.3,14.7,-1.8,,0.0,11.1,5.1,0.9,2.0,0.5
quentyn callender,Free Agent,PF,0,3.8,0.9,15.1,1.1,,0.0,5.6,5.1,0.6,2.1,1.1
siler lever,Free Agent,SG/PG,0,-0.1,-0.1,12.6,-3.0,,-0.0,3.2,1.7,1.2,0.1,-1.2
reid callaway,Jaguars,SG,0,1.6,0.7,12.7,0.0,,0.0,8.0,2.6,2.9,1.7,0.4
shaun ackerman,Stars,SG,0,,,,,,,,,,,
hudson leonard,Stars,SF,0,1.5,0.0,14.4,-2.0,,0.0,15.3,3.9,1.7,1.1,-0.2
tyrell hawke,Bullets,SG,0,,,,,,,,,,,
vonzell collier,Devils,PF,0,3.2,0.1,15.4,-1.8,,0.0,12.7,6.9,1.2,2.1,3.0
paris salas,Free Agent,C,0,0.0,0.0,14.2,-6.4,,,0.6,0.3,0.0,0.0,-1.6
ousman schaafsma,Free Agent,PF,0,0.0,0.0,14.3,-1.8,,,4.3,0.3,0.7,0.0,-1.3
tra'vaughn tauaefa,Free Agent,SF/PG,0,0.0,0.0,28.2,-0.9,,,1.0,0.3,0.0,0.0,-4.0
reuben wilhite,Free Agent,PF,0,0.4,0.1,13.3,-0.2,,0.0,4.0,3.0,0.7,0.2,-0.8
emery hathaway,Jaguars,SF,0,2.1,-0.4,11.8,-2.9,,0.0,7.5,3.7,1.6,1.9,1.2
cassius levert,Jaguars,SG,0,0.4,0.1,14.1,-0.7,,0.0,5.4,1.0,0.8,0.2,-1.7
bogdan nikolic,Jaguars,PF/C,0,1.9,0.6,17.7,-0.7,,0.0,16.0,8.8,1.8,3.0,3.7
sebastian crawley,Jailbirds,C/PF,0,1.5,0.6,12.2,0.9,,0.0,7.2,5.1,1.5,0.8,0.4
jawann spriggins,Jailbirds,PF,0,0.4,-0.3,15.2,-3.8,,0.0,9.4,4.4,0.6,0.7,-0.6
al-amir geyen,Knights,C,0,0.4,0.0,12.0,-2.6,,0.0,1.7,1.5,0.2,0.3,-0.3
pedro ezidore,Lightning,SG,0,,,,,,,,,,,
erickson wirth,Pilots,SG/SF,0,-0.1,-0.1,7.3,-3.5,,-0.0,2.2,0.6,0.6,0.2,-2.7
cifu alcalá,Predators,SG/SF,0,,,,,,,,,,,
garett henderson,Vipers,SF/SG,0,,,,,,,,,,,
jamaya patton,Wolves,PF,0,0.9,-0.1,10.7,-2.4,,0.0,4.0,3.5,0.6,0.7,0.4
kyran craig,Devils,SF,0,,,,,,,,,,,
darin brisby,Dragons,PG,0,1.5,0.4,16.0,0.4,,0.0,7.7,1.1,3.8,0.6,-2.1
orkun ozcan,Dragons,PG/SG,0,1.5,0.7,18.7,0.1,,0.0,13.7,2.0,5.2,0.2,-0.6
braiten tagaloa,Drones,SF/PF,0,,,,,,,,,,,
mahmoud abdur-rahman,Free Agent,SF,0,3.0,1.7,17.2,2.2,,0.0,12.1,2.7,3.0,1.6,-0.1
dillon brooks,Free Agent,SG/SF,0,3.2,1.3,14.3,1.8,,0.0,6.1,3.8,2.4,1.3,0.2
jamaree dupay,Free Agent,PF,0,0.3,0.1,23.0,8.8,,0.0,1.5,1.2,0.3,0.1,4.5
abdoulaye planincic,Free Agent,PG,0,0.7,0.1,19.8,1.4,,0.0,3.4,0.3,1.6,0.2,-3.9
kendrick atkins,Renegades,SF/SG,0,0.2,0.1,27.4,7.8,,0.0,2.5,0.8,0.4,0.0,-2.5
shazier lund,Renegades,SF,0,0.6,0.3,12.4,2.5,,0.0,5.1,0.9,1.2,0.4,-1.0
cullen kasparek,Saints,PF/C,0,,,,,,,,,,,
markus voglsammer,Stonecutters,SF,0,3.3,1.8,17.3,2.6,,0.0,10.6,3.7,2.3,1.8,1.5
zach camara,Thunder,PG,0,1.9,-0.1,14.3,-2.2,,0.0,5.0,0.9,2.9,0.7,-3.2
prince davis,Warriors,PF,0,2.6,1.3,17.5,4.3,,0.0,5.8,2.7,1.3,0.9,2.1
stefan drescher,Wolves,C/PF,0,,,,,,,,,,,
arturo olaetxea,Wolves,SG/PG,0,0.9,0.3,21.8,1.7,,0.0,11.0,1.3,2.8,0.0,-1.6
devonne goldwire,Blizzards,PG,0,4.3,0.9,15.1,-0.4,,0.0,10.8,2.9,5.8,0.2,-1.2
jaleel usher,Blizzards,SF/SG,0,1.2,0.3,17.3,-1.0,,0.0,13.7,2.6,4.1,0.2,0.1
jaron frost,Calaveras,PF/C,0,,,,,,,,,,,
rené larousse,Calaveras,C,0,,,,,,,,,,,
shaine jarmon,Colonels,PF/C,0,,,,,,,,,,,
quintyn detrick,Drones,SF,0,0.1,0.0,13.3,-2.2,,0.0,11.1,1.7,3.4,0.3,-2.0
akani adekoya,Free Agent,SG/PG,0,0.0,-0.1,10.4,-3.9,,,2.6,0.6,1.0,0.2,-2.3
elijah monk,Free Agent,PF,0,2.9,1.1,12.8,2.3,,0.0,3.1,4.6,1.7,1.3,1.9
jamichael wilson,Free Agent,PF,0,2.4,0.2,11.9,-1.4,,0.0,4.1,5.0,1.0,1.2,1.0
solomon mcilvaine,Lumberjacks,PG,0,3.3,0.6,16.4,0.0,,0.0,6.8,0.9,3.8,1.2,-3.4
isaiah voss,Lumberjacks,PG,0,,,,,,,,,,,
tafari stephens,Mustangs,C,0,5.2,1.2,14.7,0.7,,0.0,7.1,7.9,1.1,3.0,1.7
antonio lopez,Pilots,C,0,3.4,0.7,12.5,-0.4,,0.0,6.9,7.4,0.8,2.9,2.0
fabian kendricks,Skyhawks,SG,0,0.1,0.1,11.8,3.2,,0.0,8.0,4.0,3.0,0.0,-0.6
everage perkowski,Skyhawks,PG/SG,0,0.0,-0.2,8.4,-6.6,,,0.8,0.3,0.6,0.0,-5.1
khaled dely,Stars,SG/PG,0,,,,,,,,,,,
bryson bolden,Tritons,SF/PF,0,2.8,1.4,12.7,1.1,,0.0,9.4,4.2,1.1,2.3,0.8
zack lasalle,Tritons,C,0,0.3,0.1,10.5,-0.6,,0.0,1.1,0.9,0.2,0.2,-0.3
dana mantovani,Tritons,SF,0,1.1,0.3,15.0,1.5,,0.0,3.2,1.3,0.9,0.4,-0.1
paolo belli,Warriors,PG,0,0.4,0.1,15.0,-0.3,,0.0,2.0,0.6,0.7,0.1,-2.9
arik mills,Wolves,SG,0,1.4,0.8,16.1,0.8,,0.0,10.8,3.3,2.4,0.6,0.5
jerron cooper jr,Cyclones,PG,0,,,,,,,,,,,
zafer aynaoglu,Free Agent,PG,0,0.0,-0.1,13.6,-5.1,,,4.9,0.6,1.0,0.0,-3.6
godwin gillette,Free Agent,C,0,2.9,-0.1,12.9,-2.4,,0.0,5.0,6.2,0.7,1.5,0.0
axel grenier,Free Agent,SF/SG,0,0.4,0.3,19.6,4.5,,0.0,7.9,2.9,2.2,0.1,0.4
lance jacobsen,Free Agent,SG/PG,0,0.0,0.0,15.4,-15.2,,,1.0,0.0,0.0,0.0,-6.0
jonathan landry,Free Agent,SF,0,0.1,0.1,12.7,-1.3,,0.0,7.6,3.4,1.7,0.7,0.9
kahlil sinclair,Free Agent,SF,0,-0.1,0.0,1.7,-14.0,,-0.0,6.0,0.0,0.0,0.0,-6.0
zachary bancroft,Giants,SF,0,,,,,,,,,,,
delazarus russell,Jailbirds,C,0,3.8,0.6,16.1,-0.3,,0.0,7.9,5.0,1.2,1.7,1.5
henrik strietholt,Skyhawks,SF/SG,0,0.2,-0.1,16.4,-4.6,,0.0,1.5,0.1,0.4,0.1,-4.1
aboubacar healy,Stonecutters,SF/SG,0,,,,,,,,,,,
leonardo bianchi,Thunder,PF,0,0.0,0.0,8.8,-8.0,,,0.8,0.8,0.0,0.0,-1.3
kenny cokley,Warriors,PG,0,3.1,-0.1,15.9,-2.4,,0.0,11.1,1.5,3.5,0.7,-2.3
isaac lopez,Wolves,C/PF,0,1.0,0.0,17.9,-1.8,,0.0,4.3,1.7,0.6,0.1,-0.2
yves lovato,Crusaders,SF,0,,,,,,,,,,,
victor mbaya,Drones,PG,0,0.1,0.0,11.6,-1.4,,0.0,4.0,1.6,1.6,0.1,-1.4
ilker vick,Drones,PF,0,,,,,,,,,,,
collins hogg,Fireballs,C,0,,,,,,,,,,,
jordan kingsley,Fireballs,SF/SG,0,0.0,0.0,12.3,-1.3,,,6.0,1.0,1.3,0.1,1.0
demarrio blake,Free Agent,PG,0,3.7,0.6,14.9,0.1,,0.0,4.3,1.3,4.1,0.9,-4.3
jerome carouthers,Free Agent,SF,0,0.1,0.0,12.1,-0.2,,0.0,6.0,1.0,0.0,0.0,-5.5
viktor morozov,Huskies,SF/SG,0,,,,,,,,,,,
ismael green,Knights,SF,0,2.1,0.8,12.7,0.6,,0.0,5.8,2.1,1.5,0.9,-0.7
devontavius asher,Lightning,SG,0,1.3,0.6,13.0,-0.1,,0.0,8.5,2.4,2.8,1.0,-0.7
caleb smith,Lightning,PG,0,0.2,0.0,15.3,-2.4,,0.0,1.8,0.3,0.9,0.1,-3.5
wen dunmore,Lumberjacks,SF/SG,0,,,,,,,,,,,
ambrose udoh,Renegades,PF,0,0.4,0.1,14.9,2.2,,0.0,3.1,1.5,1.7,0.1,-2.6
langston baker,Skyhawks,PF,0,0.3,0.0,13.6,-1.1,,0.0,0.9,0.5,0.2,0.1,-0.1
emani meade,Stonecutters,SG,0,1.4,0.4,14.6,0.3,,0.0,4.8,1.3,1.4,0.6,-1.4
scott holmes,Warriors,C,0,0.6,0.2,11.3,1.0,,0.0,1.4,1.3,0.3,0.3,-0.1
fard bales,Barons,SF/SG,0,,,,,,,,,,,
nathaniel owens,Devils,PF/C,0,,,,,,,,,,,
julien days,Fireballs,SF,0,,,,,,,,,,,
askia leahey,Free Agent,PG,0,1.1,-0.3,13.7,-3.2,,0.0,7.4,1.5,5.1,0.4,-2.9
james murray,Free Agent,C,0,2.7,0.6,14.7,0.4,,0.0,4.5,4.6,0.7,1.6,1.8
trenard noble,Free Agent,SG,0,0.0,0.0,11.5,-4.6,,,4.3,1.1,1.0,0.0,-2.6
rosario silvestro,Free Agent,C,0,-0.1,-0.1,2.5,-16.0,,-0.0,1.4,1.0,0.0,0.0,-3.4
kaizer wilkerson,Free Agent,SG,0,0.0,0.0,39.1,4.2,,,5.0,0.0,0.0,0.0,-6.7
garrick chapman jr,Huskies,PG/SG,0,1.9,0.9,16.4,1.0,,0.0,7.5,1.8,2.7,1.2,-0.6
evann fagan,Huskies,PG,0,0.1,0.0,18.0,0.5,,0.0,6.2,0.4,1.6,0.0,-3.8
mekel duell,Knights,PG/SG,0,0.6,0.1,12.9,-1.4,,0.0,3.5,0.9,1.1,0.2,-2.6
solomone bran,Mustangs,SF,0,,,,,,,,,,,
tavares storm,Pilots,SF,0,,,,,,,,,,,
jamir frenchwood,Predators,PG,0,0.4,0.0,10.8,-1.5,,0.0,1.1,0.3,1.3,0.2,-4.2
tykee lovely,Stars,SF,0,0.4,0.1,13.9,-0.3,,0.0,4.0,0.9,0.8,0.2,-1.8
tau weitzman,Stonecutters,PF,0,,,,,,,,,,,
archer clarke,Vipers,C,0,2.0,0.8,12.3,2.4,,0.0,2.6,4.7,0.8,1.2,1.7
djimon joyce,Wolves,PG,0,4.1,1.0,19.5,1.1,,0.0,6.7,1.6,4.6,0.5,-2.0
danilo radovic,Bullets,PG,0,0.6,-0.1,12.8,-2.7,,0.0,4.0,0.9,2.3,0.2,-3.7
taron crosswell,Devils,PF,0,,,,,,,,,,,
dimitris karras,Devils,SG,0,2.3,0.9,13.3,0.3,,0.0,6.0,3.1,2.9,1.3,0.8
andrej lukic,Devils,PF/C,0,3.6,0.7,13.6,-0.4,,0.0,6.3,6.5,1.2,1.9,1.9
damyean roby,Fireballs,PF,0,1.5,-0.6,11.1,-3.8,,0.0,5.9,3.2,0.6,1.1,-0.9
tawaski casuga,Free Agent,PG,0,1.6,0.6,18.2,1.6,,0.0,10.1,1.6,3.7,0.6,-1.1
marcus jordy,Free Agent,C,0,2.4,0.3,12.5,-1.3,,0.0,5.0,6.3,1.5,2.0,1.9
kendrick rudd,Free Agent,PG,0,5.0,0.7,14.1,-0.4,,0.0,6.7,1.6,6.1,1.2,-3.8
demario regas,Mustangs,SG,0,,,,,,,,,,,
denzel cruz,Saints,SF,0,1.3,-0.6,14.1,-3.2,,0.0,12.0,2.8,3.2,0.3,-0.3
gini still,Barons,PG,0,2.7,0.8,15.3,0.6,,0.0,5.8,1.4,2.9,1.3,-1.4
markquis swoger,Colonels,PG,0,,,,,,,,,,,
demetris cruz,Free Agent,PG,0,-0.1,0.0,5.9,-7.8,,-0.0,3.5,1.0,5.0,0.0,-1.5
daniel martin,Free Agent,C,0,0.5,0.2,13.0,2.1,,0.0,2.6,3.6,0.9,0.3,1.6
andre wright,Free Agent,SG/SF,0,2.0,0.6,17.0,0.1,,0.0,9.5,2.8,1.4,1.5,1.2
pancrazio giorgini                        &nbsp;,Huskies,C/PF,0,,,,,,,,,,,
salah abdel-hakim,Knights,SF/SG,0,,,,,,,,,,,
onyebuchi dahle,Knights,SF,0,,,,,,,,,,,
hidde gazi,Mustangs,PG,0,,,,,,,,,,,
blayne eberly,Pilots,SG,0,,,,,,,,,,,
keeon grover,Predators,SF/SG,0,4.0,2.0,14.9,4.4,,0.0,6.3,2.7,2.2,1.9,-0.4
jayce croyle,Saints,SF,0,,,,,,,,,,,
derian arnick,Barons,PF/C,0,0.9,0.5,11.0,2.4,,0.0,4.3,3.7,1.5,0.5,0.1
bryson howard,Blizzards,SG/SF,0,,,,,,,,,,,
jacory kane,Fireballs,PG,0,1.3,0.5,15.0,1.8,,0.0,8.4,2.6,4.3,0.5,-1.4
lasan crisp,Free Agent,PF/C,0,5.4,0.7,13.9,-1.0,,0.0,12.4,8.8,1.8,3.1,1.7
jordan duggins,Free Agent,C,0,0.2,0.0,15.9,0.3,,0.0,1.5,1.1,0.3,0.1,0.5
antoine hanks,Free Agent,PF,0,0.3,0.0,11.8,-1.6,,0.0,1.3,0.7,0.3,0.1,0.5
gardner hassett,Free Agent,C/PF,0,0.1,0.0,22.4,11.4,,0.0,1.3,0.8,0.3,0.0,6.9
khadim martinoni,Mustangs,PF,0,,,,,,,,,,,
marquez pearson,Scorpions,PG,0,5.2,1.1,16.7,0.8,,0.0,6.7,2.1,6.3,1.9,-2.8
jonathan lokru,Stars,C/PF,0,0.1,0.0,10.0,-2.3,,0.0,0.7,0.6,0.0,0.1,-0.6
granddi ayé,Thunder,PG,0,,,,,,,,,,,
flynn barker,Wolves,PG/SG,0,0.1,0.0,17.4,0.2,,0.0,3.0,0.5,1.0,0.0,-3.4
luis oliveira,Calaveras,PG,0,2.3,0.4,17.5,-0.9,,0.0,8.7,1.6,4.5,-0.2,-1.9
zaye crooks,Dragons,C,0,,,,,,,,,,,
jermaine kersten,Free Agent,SG/PG,0,0.2,0.0,12.2,0.2,,0.0,3.7,1.2,3.3,0.1,-3.6
trevon baptiste,Lumberjacks,C,0,,,,,,,,,,,
jameel bucklin,Lumberjacks,SG,0,0.0,0.0,9.9,0.6,,,0.9,0.1,0.0,0.0,1.7
rubin wingfield ii,Saints,SF/PF,0,,,,,,,,,,,
dong jiarun,Thunder,SG,0,,,,,,,,,,,
donte billings,Cyclones,PF/C,0,,,,,,,,,,,
jalyn vieira,Devils,PF/C,0,,,,,,,,,,,
lenzelle ndefo,Dragons,SF,0,0.7,-0.4,13.6,-3.0,,0.0,8.2,2.6,1.4,0.3,-0.9
dominykas gečas,Kings,C,0,5.1,1.5,17.5,2.4,,0.0,8.0,7.7,0.9,2.7,0.5
nikola kravic,Knights,SG,0,0.2,0.0,14.6,0.3,,0.0,1.4,0.3,0.8,0.1,-2.9
sergi lorenzo,Predators,C/PF,0,,,,,,,,,,,
rashamel adrian,Stonecutters,C,0,,,,,,,,,,,
cristian valentín,Vultures,SG,0,,,,,,,,,,,
hendrik scioscia,Wolves,C,0,5.4,1.2,15.7,0.2,,0.0,9.6,7.5,1.0,1.6,1.7
kamall doellman,Blizzards,C,0,,,,,,,,,,,
javion jupiter,Bullets,C/PF,0,,,,,,,,,,,
jose aguirre,Colonels,PG,0,1.3,0.4,17.5,-0.6,,0.0,8.1,1.5,2.9,0.4,-1.1
lamond mumford,Dragons,PF/C,0,,,,,,,,,,,
raul cardona,Free Agent,PF,0,3.5,2.0,14.2,3.7,,0.0,6.9,4.2,0.9,2.6,1.4
jahmir kurth,Free Agent,SG,0,1.8,0.4,14.3,-0.6,,0.0,8.6,3.5,2.4,0.7,0.1
rodrigo rocha,Hurricanes,PF/SF,0,,,,,,,,,,,
kalil valenti,Huskies,PG,0,,,,,,,,,,,
damian vogel,Saints,PG,0,3.6,-0.5,15.2,-2.9,,0.0,10.9,3.1,7.5,-0.1,-2.3
vj okotie,Thunder,SG/PG,0,0.1,0.0,11.0,-2.3,,0.0,0.5,0.2,0.6,0.1,-3.7
quentin reid,Thunder,SG/SF,0,0.5,0.0,13.3,-2.1,,0.0,2.7,1.3,0.7,0.2,-1.5
sam forbes,Vultures,PG,0,,,,,,,,,,,
brett wright,Vultures,PG,0,2.3,0.0,14.8,-2.1,,0.0,7.6,0.9,3.6,0.4,-3.4
jonas baumann,Wolves,SF,0,2.1,0.9,18.5,0.7,,0.0,9.7,2.5,3.0,0.4,0.4
zac dench,Wolves,PG,0,,,,,,,,,,,
colby thomas,Dragons,C,0,1.1,-0.4,13.0,-4.1,,0.0,4.2,4.2,0.5,0.5,-0.3
timo hoffman,Free Agent,C,0,0.0,0.0,13.9,2.8,,,2.0,1.0,0.0,0.0,9.2
jaren moore,Free Agent,SF,0,0.0,-0.1,18.0,-4.8,,,4.5,0.7,0.2,0.1,-2.3
denzel young,Free Agent,C,0,3.5,0.9,14.1,0.6,,0.0,5.4,6.1,0.7,2.2,0.5
dwight shope,Saints,C,0,2.2,-1.4,11.1,-4.8,,0.0,6.0,8.3,0.8,1.2,0.5
josh baker,Tritons,PG,0,0.2,0.0,20.3,2.2,,0.0,0.7,0.1,0.4,0.0,-3.6
oumar john,Vultures,C/PF,0,,,,,,,,,,,
xavier pierce,Warriors,C,0,5.0,1.7,17.9,3.3,,0.0,6.3,5.6,1.4,1.6,1.8
angus nowak,Wolves,C,0,0.1,0.0,19.0,5.8,,0.0,2.0,2.3,0.7,0.0,4.2
decensae nyeko,Barons,PF/SF,0,,,,,,,,,,,
jimmy cougar iii,Free Agent,SF/PF,0,1.2,1.3,12.8,-0.1,,0.0,7.8,3.8,1.4,1.7,1.1
ryvon melendez,Free Agent,PF,0,0.1,0.0,23.4,1.7,,0.0,2.5,1.5,0.1,0.1,0.8
saulius bazys,Jaguars,C/PF,0,,,,,,,,,,,
sam hibbler,Knights,PG,0,,,,,,,,,,,
klay scantlebury,Knights,PG,0,2.2,-0.1,11.6,-2.2,,0.0,5.2,1.4,2.9,0.7,-2.8
fábio dionisio,Wolves,SG/SF,0,0.0,0.0,0.0,-6.1,,,0.0,0.0,0.0,0.0,-5.8
jermaine bird,Free Agent,SF,0,-0.2,-0.1,0.8,-10.8,,-0.0,2.8,0.8,1.0,0.0,-2.3
jamal carter,Giants,PF,0,1.7,0.4,14.3,1.1,,0.0,5.8,4.7,0.5,1.0,1.4
kennedy maxwell,Knights,SF/SG,0,1.5,0.6,15.6,1.7,,0.0,5.4,1.8,1.0,0.6,0.1
lashun eddington,Stonecutters,PF,0,,,,,,,,,,,
dalique flint,Drones,SF,0,,,,,,,,,,,
isaiah kemp,Free Agent,PF,0,0.5,-0.5,12.7,-8.3,,0.0,3.3,3.9,0.1,0.4,-2.7
andy nasalo,Free Agent,PF,0,0.4,0.0,8.0,-2.2,,0.0,3.2,6.7,1.4,0.6,1.1
damiyne schlager,Free Agent,PF,0,0.1,0.1,10.1,2.8,,0.0,4.0,4.0,0.5,0.0,0.4
cesar zuffa,Free Agent,SG,0,0.1,0.0,18.5,0.1,,0.0,2.3,0.2,0.3,0.0,-3.8
martins tharp,Knights,C,0,,,,,,,,,,,
diego quintillà,Warriors,SG,0,,,,,,,,,,,
alexandre vincent,Warriors,PG,0,,,,,,,,,,,
daniel augustus,Blizzards,SG,0,0.7,0.3,15.9,-2.3,,0.0,7.3,0.9,0.6,0.1,-1.3
antoine thuram,Stonecutters,PF/SF,0,,,,,,,,,,,
stavros kouris,Free Agent,C,0,-0.1,-0.2,6.9,-10.9,,-0.0,1.3,0.9,0.1,0.1,-2.9
elian berberi,Warriors,C/PF,0,,,,,,,,,,,
aaron howard,Free Agent,PF,0,-0.1,-0.1,-2.1,-21.4,,-0.0,0.5,1.0,0.0,0.0,-7.6
